v8-version,6,1,534,50,0
code-creation,Builtin,5,191308,0x7bdf5d61a0,134,"ArrayUnshift"
code-creation,Builtin,5,191310,0x7bdf5d6240,134,"ArraySlice"
code-creation,Builtin,5,191314,0x7bdf5d62e0,134,"ArraySplice"
code-creation,Builtin,5,191317,0x7bdf5d6380,1556,"ArrayIncludes"
code-creation,Builtin,5,191320,0x7bdf5d69a0,1292,"ArrayIndexOf"
code-creation,Builtin,5,191323,0x7bdf5d6ec0,502,"ArrayPrototypeKeys"
code-creation,Builtin,5,191326,0x7bdf5d70c0,646,"ArrayPrototypeEntries"
code-creation,Builtin,5,191329,0x7bdf5d7360,646,"ArrayPrototypeValues"
code-creation,Builtin,5,191332,0x7bdf5d7600,1685,"ArrayForEach"
code-creation,Builtin,5,191335,0x7bdf5d7ca0,666,"ToLength"
code-creation,Builtin,5,191338,0x7bdf5d7f40,365,"NonNumberToNumber"
code-creation,Builtin,5,191341,0x7bdf5d80c0,298,"NonPrimitiveToPrimitive_Number"
code-creation,Builtin,5,191344,0x7bdf5d8200,2832,"ArrayForEachLoopContinuation"
code-creation,Builtin,5,191347,0x7bdf5d8d20,6170,"ArrayFilter"
code-creation,Builtin,5,191351,0x7bdf5da540,4860,"ArrayFilterLoopContinuation"
code-creation,Builtin,5,191354,0x7bdf5db840,168,"Construct"
code-creation,Builtin,5,191357,0x7bdf5db900,114,"ConstructFunction"
code-creation,Builtin,5,191360,0x7bdf5db980,249,"ConstructBoundFunction"
code-creation,Builtin,5,191363,0x7bdf5dba80,121,"ConstructProxy"
code-creation,Builtin,5,191366,0x7bdf5dbb00,2972,"ArrayMap"
